<s>	sil #1
邦	CH_b CH_a CH_N# #1
傍	CH_b CH_a CH_N# #2
傍	CH_p CH_a CH_N# #1
傍	CH_b CH_a CH_N# #3
幫	CH_b CH_a CH_N# #4
綁	CH_b CH_a CH_N# #5
榜	CH_b CH_a CH_N# #6
榜	CH_b CH_o CH_N# #1
膀	CH_p CH_a CH_N# #2
膀	CH_b CH_a CH_N# #7
棒	CH_b CH_a CH_N# #8
磅	CH_p CH_a CH_N# #3
磅	CH_b CH_a CH_N# #9
謗	CH_b CH_a CH_N# #10
崩	CH_b CH_o CH_N# #2
繃	CH_b CH_o CH_N# #3
迸	CH_b CH_i CH_N# #1
迸	CH_b CH_o CH_N# #4
蹦	CH_b CH_o CH_N# #5
逼	CH_b CH_i #1
別	CH_b CH_i CH_E #1
彪	CH_b CH_i CH_a CH_u #1
標	CH_b CH_i CH_a CH_u #2
標	CH_p CH_i CH_a CH_u #1
鏢	CH_b CH_i CH_a CH_u #3
鑣	CH_b CH_i CH_a CH_u #4
飆	CH_b CH_i CH_a CH_u #5
表	CH_b CH_i CH_a CH_u #6
錶	CH_b CH_i CH_a CH_u #7
裱	CH_b CH_i CH_a CH_u #8
蝙	CH_b CH_i CH_E CH_n# #1
編	CH_b CH_i CH_E CH_n# #2
邊	CH_b CH_i CH_E CH_n# #3
鞭	CH_b CH_i CH_E CH_n# #4
扁	CH_p CH_i CH_E CH_n# #1
扁	CH_b CH_i CH_E CH_n# #5
匾	CH_b CH_i CH_E CH_n# #6
貶	CH_b CH_i CH_E CH_n# #7
便	CH_p CH_i CH_E CH_n# #2
便	CH_b CH_i CH_E CH_n# #8
遍	CH_b CH_i CH_E CH_n# #9
辨	CH_b CH_i CH_E CH_n# #10
變	CH_b CH_i CH_E CH_n# #11
辯	CH_b CH_i CH_E CH_n# #12
彬	CH_b CH_i CH_n# #1
賓	CH_b CH_i CH_n# #2
濱	CH_b CH_i CH_n# #3
檳	CH_b CH_i CH_n# #4
瀕	CH_b CH_i CH_n# #5
瀕	CH_p CH_i CH_n# #1
斌	CH_b CH_i CH_n# #6
殯	CH_b CH_i CH_n# #7
冰	CH_b CH_i CH_N# #2
兵	CH_b CH_i CH_N# #3
丙	CH_b CH_i CH_N# #4
秉	CH_b CH_i CH_N# #5
炳	CH_b CH_i CH_N# #6
稟	CH_b CH_i CH_n# #8
稟	CH_b CH_i CH_N# #7
餅	CH_b CH_i CH_N# #8
並	CH_b CH_a CH_N# #11
並	CH_b CH_i CH_N# #9
併	CH_b CH_i CH_N# #10
柄	CH_b CH_i CH_N# #11
病	CH_b CH_i CH_N# #12
摒	CH_b CH_i CH_N# #13
鼻	CH_b CH_i #2
比	CH_p CH_i #3
比	CH_b CH_i #3
彼	CH_b CH_i #4
筆	CH_b CH_i #5
必	CH_b CH_i #6
庇	CH_b CH_i #7
俾	CH_b CH_e CH_i #16
俾	CH_b CH_i #8
埤	CH_b CH_e CH_i #17
埤	CH_p CH_i #4
埤	CH_b CH_i #9
敝	CH_b CH_i #10
畢	CH_b CH_i #11
蓽	CH_b CH_i #12
閉	CH_b CH_i #13
弼	CH_b CH_i #14
賁	CH_b CH_@ CH_n# #5
賁	CH_f CH_@ CH_n# #1
賁	CH_b CH_i #15
幣	CH_b CH_i #16
弊	CH_b CH_i #17
碧	CH_b CH_i #18
蔽	CH_f CH_u #1
蔽	CH_b CH_i #19
壁	CH_b CH_i #20
斃	CH_b CH_i #21
避	CH_b CH_e CH_i #18
臂	CH_b CH_e CH_i #19
篳	CH_b CH_i #22
卜	CH_b CH_u #1
捕	CH_b CH_u #2
埔	CH_b CH_u #3
補	CH_b CH_u #4
不	CH_b CH_u #5
布	CH_b CH_u #6
佈	CH_b CH_u #7
步	CH_b CH_u #8
埠	CH_b CH_u #9
部	CH_b CH_u #10
簿	CH_b CH_u CH_o #29
簿	CH_b CH_u #11
趴	CH_p CH_a #2
扒	CH_b CH_a #14
扒	CH_p CH_a #3
爬	CH_p CH_a #4
琶	CH_p CH_a #5
琶	CH_b CH_a #15
帕	CH_p CH_a #6
怕	CH_p CH_a #7
坡	CH_p CH_u CH_o #2
潑	CH_p CH_u CH_o #3
婆	CH_p CH_u CH_o #4
叵	CH_p CH_u CH_o #5
頗	CH_p CH_u CH_o #6
朴	CH_p CH_u #2
朴	CH_p CH_i CH_a CH_u #2
朴	CH_p CH_u CH_o #7
迫	CH_p CH_u CH_o #8
破	CH_p CH_u CH_o #9
魄	CH_p CH_u CH_o #10
魄	CH_t CH_u CH_o #1
拍	CH_p CH_a #8
拍	CH_b CH_u CH_o #30
拍	CH_p CH_u CH_o #11
排	CH_p CH_a CH_i #1
徘	CH_p CH_a CH_i #2
牌	CH_p CH_a CH_i #3
湃	CH_p CH_a CH_i #4
派	CH_p CH_a CH_i #5
培	CH_p CH_e CH_i #1
培	CH_p CH_o CH_u #1
陪	CH_p CH_e CH_i #2
裴	CH_p CH_e CH_i #3
賠	CH_p CH_e CH_i #4
佩	CH_p CH_e CH_i #5
沛	CH_p CH_e CH_i #6
珮	CH_p CH_e CH_i #7
配	CH_p CH_e CH_i #8
拋	CH_p CH_a CH_u #2
咆	CH_p CH_a CH_u #3
炮	CH_b CH_a CH_u #17
炮	CH_p CH_a CH_u #4
袍	CH_p CH_a CH_u #5
跑	CH_p CH_a CH_u #6
泡	CH_p CH_a CH_u #7
砲	CH_p CH_a CH_u #8
剖	CH_p CH_o CH_u #2
潘	CH_p CH_a CH_n# #2
攀	CH_p CH_a CH_n# #3
槃	CH_p CH_a CH_n# #4
盤	CH_p CH_a CH_n# #5
蟠	CH_p CH_a CH_n# #6
蹣	CH_p CH_a CH_n# #7
判	CH_p CH_a CH_n# #8
拚	CH_p CH_a CH_n# #9
叛	CH_p CH_a CH_n# #10
盼	CH_p CH_a CH_n# #11
畔	CH_p CH_a CH_n# #12
噴	CH_p CH_@ CH_n# #1
盆	CH_p CH_@ CH_n# #2
彷	CH_p CH_a CH_N# #4
彷	CH_f CH_a CH_N# #1
旁	CH_p CH_a CH_N# #5
旁	CH_b CH_a CH_N# #12
徬	CH_p CH_a CH_N# #6
徬	CH_b CH_a CH_N# #13
螃	CH_p CH_a CH_N# #7
龐	CH_p CH_a CH_N# #8
胖	CH_p CH_a CH_n# #13
胖	CH_p CH_a CH_N# #9
抨	CH_p CH_o CH_N# #1
砰	CH_p CH_o CH_N# #2
烹	CH_p CH_o CH_N# #3
棚	CH_p CH_o CH_N# #4
彭	CH_p CH_o CH_N# #5
硼	CH_p CH_o CH_N# #6
澎	CH_p CH_o CH_N# #7
蓬	CH_p CH_o CH_N# #8
膨	CH_p CH_o CH_N# #9
篷	CH_p CH_o CH_N# #10
鵬	CH_p CH_o CH_N# #11
捧	CH_p CH_o CH_N# #12
碰	CH_p CH_o CH_N# #13
丕	CH_p CH_i #5
批	CH_p CH_i #6
披	CH_p CH_e CH_i #9
紕	CH_p CH_i #7
劈	CH_p CH_i #8
瞥	CH_p CH_i CH_E #1
撇	CH_p CH_i CH_E #2
漂	CH_p CH_i CH_a CH_u #3
飄	CH_p CH_i CH_a CH_u #4
嫖	CH_p CH_i CH_a CH_u #5
票	CH_p CH_i CH_a CH_u #6
剽	CH_p CH_i CH_a CH_u #7
偏	CH_p CH_i CH_E CH_n# #3
胼	CH_p CH_i CH_E CH_n# #4
篇	CH_p CH_i CH_E CH_n# #5
片	CH_p CH_i CH_E CH_n# #6
騙	CH_p CH_i CH_E CH_n# #7
拼	CH_p CH_i CH_n# #2
貧	CH_p CH_i CH_n# #3
頻	CH_p CH_i CH_n# #4
蘋	CH_p CH_i CH_n# #5
品	CH_p CH_i CH_n# #6
牝	CH_p CH_i CH_n# #7
聘	CH_p CH_i CH_n# #8
平	CH_p CH_i CH_E CH_n# #8
坪	CH_p CH_i CH_N# #1
屏	CH_b CH_i CH_N# #14
屏	CH_p CH_i CH_N# #2
屏	CH_b CH_i CH_N# #15
瓶	CH_p CH_i CH_N# #3
萍	CH_p CH_i CH_N# #4
評	CH_p CH_i CH_N# #5
憑	CH_p CH_i CH_N# #6
皮	CH_p CH_i #9
毗	CH_p CH_i #10
疲	CH_p CH_i #11
啤	CH_p CH_i #12
脾	CH_p CH_i #13
琵	CH_p CH_i #14
匹	CH_p CH_i #15
痞	CH_p CH_i #16
圮	CH_p CH_i #17
屁	CH_p CH_i #18
媲	CH_p CH_i #19
僻	CH_b CH_e CH_i #20
闢	CH_p CH_i #20
撲	CH_p CH_u #3
鋪	CH_p CH_u #4
莆	CH_p CH_u #5
莆	CH_f CH_u #2
菩	CH_p CH_u #6
葡	CH_p CH_u #7
僕	CH_p CH_u #8
樸	CH_p CH_u #9
浦	CH_p CH_u #10
圃	CH_p CH_u #11
普	CH_p CH_u #12
譜	CH_p CH_u #13
瀑	CH_b CH_a CH_u #18
曝	CH_p CH_u #14
舖	CH_p CH_u #15
媽	CH_m CH_a #1
嗎	CH_m CH_a #2
麻	CH_m CH_a #3
嘛	CH_m CH_a #4
馬	CH_m CH_a #5
瑪	CH_m CH_a #6
碼	CH_m CH_a #7
螞	CH_m CH_a #8
罵	CH_m CH_a #9
驀	CH_m CH_u CH_o #2
摸	CH_m CH_u CH_o #3
麼	CH_m CH_a #10
摩	CH_m CH_a #11
摩	CH_m CH_u CH_o #4
摹	CH_m CH_u CH_o #5
模	CH_m CH_u CH_o #6
磨	CH_m CH_u CH_o #7
謨	CH_m CH_u CH_o #8
魔	CH_m CH_u CH_o #9
抹	CH_m CH_u CH_o #10
末	CH_m CH_u CH_o #11
沫	CH_m CH_u CH_o #12
陌	CH_m CH_u CH_o #13
脈	CH_m CH_u CH_o #14
莫	CH_m CH_u CH_o #15
漠	CH_m CH_u CH_o #16
膜	CH_m CH_u CH_o #17
墨	CH_m CH_u CH_o #18
默	CH_m CH_u CH_o #19
妺	CH_m CH_u CH_o #20
埋	CH_m CH_a CH_i #1
霾	CH_m CH_a CH_i #2
買	CH_m CH_a CH_i #3
麥	CH_m CH_u CH_o #21
賣	CH_m CH_a CH_i #4
邁	CH_m CH_a CH_i #5
沒	CH_m CH_e CH_i #1
沒	CH_m CH_u CH_o #22
玫	CH_m CH_e CH_i #2
枚	CH_m CH_e CH_i #3
眉	CH_m CH_e CH_i #4
梅	CH_m CH_e CH_i #5
媒	CH_m CH_e CH_i #6
楣	CH_m CH_e CH_i #7
煤	CH_m CH_e CH_i #8
霉	CH_m CH_e CH_i #9
黴	CH_m CH_e CH_i #10
每	CH_m CH_e CH_i #11
美	CH_m CH_e CH_i #12
妹	CH_m CH_e CH_i #13
昧	CH_m CH_e CH_i #14
袂	CH_m CH_e CH_i #15
媚	CH_m CH_e CH_i #16
魅	CH_m CH_e CH_i #17
貓	CH_m CH_a CH_u #1
毛	CH_m CH_a CH_u #2
矛	CH_m CH_a CH_u #3
茅	CH_m CH_a CH_u #4
髦	CH_m CH_a CH_u #5
錨	CH_m CH_a CH_u #6
卯	CH_m CH_a CH_u #7
冒	CH_m CH_u CH_o #23
茂	CH_m CH_a CH_u #8
帽	CH_m CH_a CH_u #9
貿	CH_m CH_a CH_u #10
貌	CH_m CH_a CH_u #11
懋	CH_m CH_a CH_u #12
牟	CH_m CH_o CH_u #1
謀	CH_m CH_o CH_u #2
繆	CH_m CH_o CH_u #3
繆	CH_l CH_i CH_a CH_u #1
繆	CH_m CH_u #1
繆	CH_m CH_i CH_a CH_u #1
某	CH_m CH_o CH_u #4
瞞	CH_m CH_a CH_n# #1
蠻	CH_m CH_a CH_n# #2
滿	CH_m CH_a CH_n# #3
曼	CH_m CH_a CH_n# #4
漫	CH_m CH_a CH_n# #5
慢	CH_m CH_a CH_n# #6
蔓	CH_m CH_a CH_n# #7
嫚	CH_m CH_a CH_n# #8
懣	CH_m CH_@ CH_n# #1
悶	CH_m CH_@ CH_n# #2
們	CH_m CH_@ CH_n# #3
門	CH_m CH_@ CH_n# #4
捫	CH_m CH_@ CH_n# #5
忙	CH_m CH_a CH_N# #1
芒	CH_m CH_a CH_N# #2
盲	CH_m CH_a CH_N# #3
氓	CH_m CH_a CH_N# #4
茫	CH_m CH_a CH_N# #5
莽	CH_m CH_a CH_N# #6
朦	CH_m CH_o CH_N# #1
萌	CH_m CH_o CH_N# #2
盟	CH_m CH_o CH_N# #3
蒙	CH_m CH_o CH_N# #4
濛	CH_m CH_o CH_N# #5
矇	CH_m CH_o CH_N# #6
猛	CH_m CH_o CH_N# #7
孟	CH_m CH_o CH_N# #8
夢	CH_m CH_o CH_N# #9
瞇	CH_m CH_i #1
咩	CH_m CH_i CH_E #1
滅	CH_m CH_i CH_E #2
苗	CH_m CH_i CH_a CH_u #2
描	CH_m CH_i CH_a CH_u #3
瞄	CH_m CH_i CH_a CH_u #4
邈	CH_m CH_i CH_a CH_u #5
秒	CH_m CH_i CH_a CH_u #6
渺	CH_m CH_i CH_a CH_u #7
淼	CH_m CH_i CH_a CH_u #8
妙	CH_m CH_i CH_a CH_u #9
廟	CH_m CH_i CH_a CH_u #10
謬	CH_m CH_i CH_o CH_u
眠	CH_m CH_i CH_E CH_n# #1
棉	CH_m CH_i CH_E CH_n# #2
綿	CH_m CH_i CH_E CH_n# #3
免	CH_m CH_i CH_E CH_n# #4
免	CH_# CH_u CH_@ CH_n# #1
勉	CH_m CH_i CH_E CH_n# #5
冕	CH_m CH_i CH_E CH_n# #6
緬	CH_m CH_i CH_E CH_n# #7
面	CH_m CH_i CH_E CH_n# #8
麵	CH_m CH_i CH_E CH_n# #9
民	CH_m CH_i CH_n# #1
玟	CH_# CH_u CH_@ CH_n# #2
玟	CH_m CH_i CH_n# #2
泯	CH_m CH_i CH_n# #3
敏	CH_m CH_i CH_n# #4
名	CH_m CH_i CH_N# #1
明	CH_m CH_i CH_N# #2
冥	CH_m CH_i CH_N# #3
茗	CH_m CH_i CH_N# #4
銘	CH_m CH_i CH_N# #5
鳴	CH_m CH_i CH_N# #6
瞑	CH_m CH_i CH_E CH_n# #10
瞑	CH_m CH_i CH_N# #7
瞑	CH_m CH_i CH_E CH_n# #11
命	CH_m CH_i CH_N# #8
迷	CH_m CH_i #2
彌	CH_m CH_i #3
謎	CH_m CH_i #4
謎	CH_m CH_e CH_i #18
瀰	CH_m CH_i #5
米	CH_m CH_i #6
弭	CH_m CH_i #7
靡	CH_m CH_i #8
祕	CH_b CH_i #23
秘	CH_b CH_i #24
密	CH_m CH_i #9
覓	CH_m CH_i #10
蜜	CH_m CH_i #11
母	CH_m CH_u #2
牡	CH_m CH_o CH_u #5
拇	CH_m CH_u #3
姆	CH_m CH_u #4
木	CH_m CH_u #5
目	CH_m CH_u #6
沐	CH_m CH_u #7
牧	CH_m CH_u #8
募	CH_m CH_u #9
睦	CH_m CH_u #10
墓	CH_m CH_u #11
幕	CH_m CH_u CH_o #24
慕	CH_m CH_u #12
穆	CH_m CH_u #13
伐	CH_f CH_a #1
發	CH_f CH_a #2
乏	CH_f CH_a #3
筏	CH_f CH_a #4
閥	CH_f CH_a #5
罰	CH_f CH_a #6
法	CH_f CH_a #7
髮	CH_f CH_a #8
佛	CH_f CH_o #1
佛	CH_b CH_i #25
妃	CH_f CH_e CH_i #1
妃	CH_p CH_e CH_i #10
非	CH_f CH_e CH_i #2
痱	CH_f CH_e CH_i #3
飛	CH_f CH_e CH_i #4
啡	CH_f CH_e CH_i #5
菲	CH_f CH_e CH_i #6
霏	CH_f CH_e CH_i #7
肥	CH_f CH_e CH_i #8
匪	CH_f CH_e CH_i #9
斐	CH_f CH_e CH_i #10
翡	CH_f CH_e CH_i #11
誹	CH_f CH_e CH_i #12
蜚	CH_f CH_e CH_i #13
吠	CH_f CH_e CH_i #14
肺	CH_p CH_e CH_i #11
沸	CH_f CH_u #3
沸	CH_f CH_e CH_i #15
費	CH_b CH_i #26
廢	CH_f CH_e CH_i #16
否	CH_p CH_i #21
番	CH_p CH_a CH_n# #14
番	CH_p CH_u CH_o #12
幡	CH_f CH_a CH_n# #1
翻	CH_f CH_a CH_n# #2
凡	CH_f CH_a CH_n# #3
帆	CH_f CH_a CH_n# #4
煩	CH_f CH_a CH_n# #5
繁	CH_p CH_u CH_o #13
藩	CH_f CH_a CH_n# #6
璠	CH_f CH_a CH_n# #7
反	CH_f CH_a CH_n# #8
返	CH_f CH_a CH_n# #9
氾	CH_f CH_a CH_n# #10
犯	CH_f CH_a CH_n# #11
泛	CH_f CH_o CH_N# #1
泛	CH_f CH_a CH_n# #12
范	CH_f CH_a CH_n# #13
梵	CH_f CH_a CH_n# #14
販	CH_f CH_a CH_n# #15
飯	CH_f CH_a CH_n# #16
範	CH_f CH_a CH_n# #17
分	CH_f CH_@ CH_n# #2
吩	CH_f CH_@ CH_n# #3
芬	CH_f CH_@ CH_n# #4
氛	CH_f CH_@ CH_n# #5
紛	CH_f CH_@ CH_n# #6
焚	CH_f CH_@ CH_n# #7
粉	CH_f CH_@ CH_n# #8
份	CH_b CH_i CH_n# #9
份	CH_f CH_@ CH_n# #9
忿	CH_f CH_@ CH_n# #10
憤	CH_f CH_@ CH_n# #11
奮	CH_f CH_@ CH_n# #12
方	CH_f CH_a CH_N# #2
坊	CH_f CH_a CH_N# #3
芳	CH_f CH_a CH_N# #4
妨	CH_f CH_a CH_N# #5
防	CH_f CH_a CH_N# #6
房	CH_f CH_a CH_N# #7
仿	CH_f CH_a CH_N# #8
紡	CH_f CH_a CH_N# #9
舫	CH_f CH_a CH_N# #10
訪	CH_f CH_a CH_N# #11
放	CH_f CH_a CH_N# #12
封	CH_f CH_o CH_N# #2
風	CH_f CH_o CH_N# #3
峰	CH_f CH_o CH_N# #4
烽	CH_f CH_o CH_N# #5
蜂	CH_f CH_o CH_N# #6
瘋	CH_f CH_o CH_N# #7
鋒	CH_f CH_o CH_N# #8
豐	CH_f CH_o CH_N# #9
逢	CH_p CH_o CH_N# #14
馮	CH_f CH_o CH_N# #10
馮	CH_p CH_i CH_N# #7
縫	CH_f CH_o CH_N# #11
奉	CH_f CH_o CH_N# #12
俸	CH_f CH_o CH_N# #13
鳳	CH_f CH_o CH_N# #14
諷	CH_f CH_o CH_N# #15
孵	CH_f CH_u #4
夫	CH_f CH_u #5
敷	CH_f CH_u #6
膚	CH_f CH_u #7
弗	CH_f CH_u #8
伏	CH_f CH_u #9
孚	CH_f CH_u #10
扶	CH_f CH_u #11
彿	CH_f CH_u #12
拂	CH_f CH_u #13
拂	CH_b CH_i #27
芙	CH_f CH_u #14
服	CH_f CH_u #15
俘	CH_f CH_u #16
氟	CH_f CH_u #17
浮	CH_f CH_o CH_u #1
符	CH_f CH_u #18
幅	CH_b CH_i #28
幅	CH_f CH_u #19
袱	CH_f CH_u #20
福	CH_f CH_u #21
蝠	CH_f CH_u #22
縛	CH_f CH_u #23
輻	CH_f CH_u #24
甫	CH_f CH_u #25
府	CH_f CH_u #26
斧	CH_f CH_u #27
俯	CH_f CH_u #28
脯	CH_p CH_u #16
脯	CH_f CH_u #29
輔	CH_f CH_u #30
腐	CH_f CH_u #31
撫	CH_f CH_u #32
父	CH_f CH_u #33
付	CH_f CH_u #34
咐	CH_f CH_u #35
附	CH_f CH_u #36
負	CH_f CH_u #37
赴	CH_f CH_u #38
副	CH_p CH_i #22
婦	CH_f CH_u #39
傅	CH_f CH_u #40
富	CH_f CH_u #41
復	CH_f CH_o CH_u #2
腹	CH_f CH_u #42
複	CH_f CH_u #43
賦	CH_f CH_u #44
覆	CH_f CH_u #45
搭	CH_d CH_a #1
撘	CH_d CH_a #2
答	CH_d CH_a #3
達	CH_d CH_a #4
達	CH_t CH_a #1
瘩	CH_d CH_a #5
打	CH_d CH_a #6
大	CH_d CH_a #7
的	CH_d CH_i #1
的	CH_d CH_@ #1
得	CH_d CH_@ #2
得	CH_d CH_a CH_i #1
得	CH_d CH_@ #3
德	CH_d CH_@ #4
呆	CH_d CH_a CH_i #2
呆	CH_# CH_a CH_i #1
歹	CH_d CH_a CH_i #3
歹	CH_# CH_@ #1
代	CH_d CH_a CH_i #4
岱	CH_d CH_a CH_i #5
待	CH_d CH_a CH_i #6
怠	CH_d CH_a CH_i #7
殆	CH_d CH_a CH_i #8
帶	CH_d CH_a CH_i #9
袋	CH_d CH_a CH_i #10
貸	CH_d CH_a CH_i #11
逮	CH_d CH_a CH_i #12
戴	CH_d CH_a CH_i #13
黛	CH_d CH_a CH_i #14
刀	CH_d CH_a CH_u #1
叨	CH_d CH_a CH_u #2
倒	CH_d CH_a CH_u #3
島	CH_d CH_a CH_u #4
搗	CH_d CH_a CH_u #5
導	CH_d CH_a CH_u #6
禱	CH_d CH_a CH_u #7
到	CH_d CH_a CH_u #8
悼	CH_d CH_a CH_u #9
盜	CH_d CH_a CH_u #10
道	CH_d CH_a CH_u #11
稻	CH_d CH_a CH_u #12
蹈	CH_d CH_a CH_u #13
兜	CH_d CH_o CH_u #1
都	CH_d CH_o CH_u #2
斗	CH_d CH_o CH_u #3
抖	CH_d CH_o CH_u #4
陡	CH_d CH_o CH_u #5
豆	CH_d CH_o CH_u #6
鬥	CH_d CH_o CH_u #7
逗	CH_d CH_o CH_u #8
丹	CH_d CH_a CH_n# #1
耽	CH_d CH_a CH_n# #2
單	CH_d CH_a CH_n# #3
單	CH_tsc CH_a CH_n# #1
單	CH_sc CH_a CH_n# #1
擔	CH_d CH_a CH_n# #4
眈	CH_d CH_a CH_n# #5
疸	CH_d CH_a CH_n# #6
膽	CH_d CH_a CH_n# #7
旦	CH_d CH_a CH_n# #8
但	CH_d CH_a CH_n# #9
淡	CH_d CH_a CH_n# #10
蛋	CH_d CH_a CH_n# #11
憚	CH_d CH_a CH_n# #12
彈	CH_t CH_a CH_n# #1
彈	CH_d CH_a CH_n# #13
誕	CH_d CH_a CH_n# #14
當	CH_d CH_a CH_N# #1
噹	CH_d CH_a CH_N# #2
鐺	CH_d CH_a CH_N# #3
擋	CH_d CH_a CH_N# #4
檔	CH_d CH_a CH_N# #5
黨	CH_d CH_a CH_N# #6
蕩	CH_d CH_a CH_N# #7
盪	CH_d CH_a CH_N# #8
宕	CH_d CH_a CH_N# #9
愓	CH_sc CH_a CH_N# #1
登	CH_d CH_@ CH_N# #1
燈	CH_d CH_@ CH_N# #2
等	CH_d CH_@ CH_N# #3
鄧	CH_d CH_@ CH_N# #4
瞪	CH_d CH_@ CH_N# #5
低	CH_d CH_i #2
滴	CH_d CH_i #3
嗲	CH_d CH_i CH_E #1
迭	CH_d CH_i CH_E #2
喋	CH_dzc CH_a #1
喋	CH_d CH_i CH_E #3
跌	CH_d CH_i CH_E #4
碟	CH_d CH_i CH_E #5
蝶	CH_d CH_i CH_E #6
諜	CH_d CH_i CH_E #7
疊	CH_d CH_i CH_E #8
刁	CH_d CH_i CH_a CH_u #1
凋	CH_d CH_i CH_a CH_u #2
貂	CH_d CH_i CH_a CH_u #3
碉	CH_d CH_i CH_a CH_u #4
雕	CH_d CH_i CH_a CH_u #5
鵰	CH_d CH_i CH_a CH_u #6
弔	CH_d CH_i CH_a CH_u #7
吊	CH_d CH_i CH_a CH_u #8
掉	CH_d CH_i CH_a CH_u #9
釣	CH_d CH_i CH_a CH_u #10
丟	CH_d CH_i CH_o CH_u #1
顛	CH_d CH_i CH_E CH_n# #1
癲	CH_d CH_i CH_E CH_n# #2
巔	CH_d CH_i CH_E CH_n# #3
典	CH_d CH_i CH_E CH_n# #4
點	CH_d CH_i CH_E CH_n# #5
甸	CH_t CH_i CH_E CH_n# #1
甸	CH_d CH_i CH_E CH_n# #6
惦	CH_d CH_i CH_E CH_n# #7
玷	CH_d CH_i CH_E CH_n# #8
店	CH_d CH_i CH_E CH_n# #9
奠	CH_d CH_i CH_E CH_n# #10
殿	CH_d CH_i CH_E CH_n# #11
墊	CH_d CH_i CH_E CH_n# #12
電	CH_d CH_i CH_E CH_n# #13
澱	CH_d CH_i CH_E CH_n# #14
丁	CH_dzc CH_@ CH_N# #1
丁	CH_d CH_i CH_N# #1
叮	CH_d CH_i CH_N# #2
盯	CH_d CH_i CH_N# #3
釘	CH_d CH_i CH_N# #4
頂	CH_d CH_i CH_N# #5
鼎	CH_d CH_i CH_N# #6
